Protein,Protein Name,Protein Family,ChEMBL ID
PYGB,Peptidyl-prolyl cis-trans isomerase FKBP5,N/A,CHEMBL2052031
PYGB,"Glycogen phosphorylase, muscle form",Belongs to the glycogen phosphorylase family,CHEMBL3526
PYGB,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Belongs to the potassium channel HCN family,CHEMBL1795171
PROKR2,Prokineticin receptor 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL5548
PROKR2,Insulin-like growth factor-binding protein 5,N/A,CHEMBL2665
PROKR2,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
OXT,Oxytocin-neurophysin 1,Belongs to the vasopressin/oxytocin family,CHEMBL5169107
OXT,Nuclear receptor subfamily 2 group F member 6,Belongs to the nuclear hormone receptor family. NR2 subfamily,CHEMBL1961791
MLNR,Motilin receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL2203
PON1,Serum paraoxonase/arylesterase 1,Belongs to the paraoxonase family,CHEMBL3167
PON1,Serum paraoxonase/lactonase 3,Belongs to the paraoxonase family,CHEMBL4295824
PON1,Serum paraoxonase/arylesterase 2,Belongs to the paraoxonase family,CHEMBL4295823
PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Belongs to the cyclophilin-type PPIase family,CHEMBL3325306
PPIF,Apoptosis regulator Bcl-2,Belongs to the Bcl-2 family,CHEMBL4860
PPIF,Cellular tumor antigen p53,Belongs to the p53 family,CHEMBL4096
PPIF,Solute carrier family 25 member 3,Belongs to the mitochondrial carrier (TC 2.A.29) family,CHEMBL4295795
PPIF,Peptidyl-prolyl cis-trans isomerase D,Belongs to the cyclophilin-type PPIase family. PPIase D subfamily,CHEMBL1697657
PPIF,"ATP synthase subunit beta, mitochondrial",Belongs to the ATPase alpha/beta chains family,CHEMBL2062350
PPIF,Alpha-2-macroglobulin,Belongs to the protease inhibitor I39 (alpha-2-macroglobulin) family,CHEMBL4295690
PPIF,Non-selective voltage-gated ion channel VDAC1,Belongs to the eukaryotic mitochondrial porin family,CHEMBL4295729
PPIF,Mucin-1,N/A,CHEMBL3580494
PPIF,Dynamin-2,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family,CHEMBL5812
WNT3,Proto-oncogene Wnt-3,Belongs to the Wnt family,CHEMBL6079
WNT3,Protein Wnt-3a,Belongs to the Wnt family,CHEMBL1255137
WNT3,Protein-serine O-palmitoleoyltransferase porcupine,Belongs to the membrane-bound acyltransferase family. Porcupine subfamily,CHEMBL1255163
WNT3,Frizzled-1,Belongs to the G-protein coupled receptor Fz/Smo family,CHEMBL2346493
WNT3,Frizzled-7,Belongs to the G-protein coupled receptor Fz/Smo family,CHEMBL3559688
CPD,Carboxypeptidase D,Belongs to the peptidase M14 family,CHEMBL4523154
CPD,Cytochrome P450 2D6,Belongs to the cytochrome P450 family,CHEMBL289
CPD,Carboxypeptidase B,Belongs to the peptidase M14 family,CHEMBL2552
CPD,Carboxypeptidase A2,Belongs to the peptidase M14 family,CHEMBL4939
CPD,Carboxypeptidase A1,Belongs to the peptidase M14 family,CHEMBL2088
CPD,Carboxypeptidase A4,Belongs to the peptidase M14 family,CHEMBL2644
CPD,DNA repair protein complementing XP-A cells,Belongs to the XPA family,CHEMBL4105801
CPD,DNA damage-binding protein 1,Belongs to the DDB1 family,CHEMBL3833061
CPD,Mast cell carboxypeptidase A,Belongs to the peptidase M14 family,CHEMBL2645
GNRHR,Gonadotropin-releasing hormone receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL1855
GNRHR,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
CCND1,G1/S-specific cyclin-D1,Belongs to the cyclin family. Cyclin D subfamily,CHEMBL3610
CCND1,Cyclin-dependent kinase 4,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL331
CCND1,Cyclin-dependent kinase inhibitor 1,Belongs to the CDI family,CHEMBL5021
CCND1,Ubiquitin carboxyl-terminal hydrolase 2,Belongs to the peptidase C19 family. USP2 subfamily,CHEMBL1293227
CCND1,ATPase family AAA domain-containing protein 2,Belongs to the AAA ATPase family,CHEMBL2150837
CCND1,Thyroid hormone receptor-associated protein 3,Belongs to the BCLAF1/THRAP3 family,CHEMBL4105820
CCND1,Nuclear receptor subfamily 4 group A member 3,Belongs to the nuclear hormone receptor family. NR4 subfamily,CHEMBL1961792
CCND1,Transmembrane 4 L6 family member 5,Belongs to the L6 tetraspanin family,CHEMBL4523127
CCND1,SRSF protein kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL5668
GPR63,Probable G-protein coupled receptor 63,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523916
KCNJ13,Inward rectifier potassium channel 13,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ13 subfamily,CHEMBL2146349
KISS1R,KiSS-1 receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL5413
KISS1R,Guanine nucleotide-binding protein G(q) subunit alpha,Belongs to the G-alpha family. G(q) subfamily,CHEMBL3286079
KISS1R,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
KISS1R,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL4703
GRIN3B,"Glutamate receptor ionotropic, NMDA 3B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR3B/GRIN3B subfamily,CHEMBL2094124
GRIN3B,"Glutamate receptor ionotropic, NMDA 3A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR3A/GRIN3A subfamily,CHEMBL4787
GRIN3B,"Glutamate receptor ionotropic, NMDA 2B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2B/GRIN2B subfamily,CHEMBL1904
GRIN3B,"Glutamate receptor ionotropic, NMDA 2D",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2D/GRIN2D subfamily,CHEMBL2591
GRIN3B,"Glutamate receptor ionotropic, NMDA 1",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR1/GRIN1 subfamily,CHEMBL2015
GRIN3B,"Glutamate receptor ionotropic, NMDA 2A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2A/GRIN2A subfamily,CHEMBL1972
GRIN3B,"Glutamate receptor ionotropic, NMDA 2C",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2C/GRIN2C subfamily,CHEMBL4109
OPRD1,Delta-type opioid receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL236
OPRD1,Mu-type opioid receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL233
OPRD1,Beta-arrestin-1,Belongs to the arrestin family,CHEMBL1795088
OPRD1,Calnexin,Belongs to the calreticulin family,CHEMBL2719
OPRD1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIA subfamily,CHEMBL3901
CPSF3,Eukaryotic translation initiation factor 4E,Belongs to the eukaryotic initiation factor 4E family,CHEMBL4848
CPSF3,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
FLVCR2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIA subfamily,CHEMBL3901
FLVCR2,"ATP synthase subunit gamma, mitochondrial",Belongs to the ATPase gamma chain family,CHEMBL4295752
FLVCR2,Cytochrome c oxidase subunit NDUFA4,Belongs to the complex IV NDUFA4 subunit family,CHEMBL2317
FLVCR2,"Cytochrome c1, heme protein, mitochondrial",Belongs to the cytochrome c family,CHEMBL4105975
FLVCR2,Heme oxygenase 1,Belongs to the heme oxygenase family,CHEMBL2823
PRLHR,Prolactin-releasing peptide receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL1681611
GHSR,Growth hormone secretagogue receptor type 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL4616
GHSR,Appetite-regulating hormone,Belongs to the motilin family,CHEMBL1921664
GHSR,Sigma non-opioid intracellular receptor 1,Belongs to the ERG2 family,CHEMBL287
KCNJ2,Inward rectifier potassium channel 2,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ2 subfamily,CHEMBL1914276
KCNJ2,Inward rectifier potassium channel 4,Belongs to the inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ4 subfamily,CHEMBL2146347
KCNJ2,Serine/threonine-protein kinase OSR1,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily,CHEMBL1163104
KCNJ2,Syntenin-1,N/A,CHEMBL4739667
GPR83,G-protein coupled receptor 83,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523924
GPR83,G-protein coupled receptor 171,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523860
MC3R,Melanocortin receptor 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL4644
PTGER2,Prostaglandin E2 receptor EP2 subtype,Belongs to the G-protein coupled receptor 1 family,CHEMBL1881
PTGER2,Prostaglandin E2 receptor EP4 subtype,Belongs to the G-protein coupled receptor 1 family,CHEMBL1836
NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",Belongs to the 5'(3')-deoxyribonucleotidase family,CHEMBL3751653
NT5C,"5'(3')-deoxyribonucleotidase, mitochondrial",Belongs to the 5'(3')-deoxyribonucleotidase family,CHEMBL3751654
EVI2A,Golgi-associated PDZ and coiled-coil motif-containing protein,N/A,CHEMBL1741218
MCHR1,Melanin-concentrating hormone receptor 1,Belongs to the G-protein coupled receptor 1 family,CHEMBL344
GALR3,Galanin receptor type 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL2731
GALR3,Galanin receptor type 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL3176
OPN1SW,Nuclear receptor ROR-beta,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL3091268
OPN1SW,Nuclear receptor ROR-alpha,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL5868
AANAT,14-3-3 protein zeta/delta,Belongs to the 14-3-3 family,CHEMBL4105899
AANAT,14-3-3 protein epsilon,Belongs to the 14-3-3 family,CHEMBL3329082
AANAT,14-3-3 protein beta/alpha,Belongs to the 14-3-3 family,CHEMBL3710403
AANAT,14-3-3 protein gamma,Belongs to the 14-3-3 family,CHEMBL1293296
AANAT,Growth factor receptor-bound protein 10,Belongs to the GRB7/10/14 family,CHEMBL3621028
H3-3B,Lysine-specific demethylase 3B,Belongs to the JHDM2 histone demethylase family,CHEMBL3784906
H3-3B,Lysine-specific demethylase 4B,Belongs to the JHDM3 histone demethylase family,CHEMBL3313832
H3-3B,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",Belongs to the class V-like SAM-binding methyltransferase superfamily,CHEMBL3588738
H3-3B,Lysine-specific demethylase 3A,Belongs to the JHDM2 histone demethylase family,CHEMBL1938209
H3-3B,DNA (cytosine-5)-methyltransferase 3-like,N/A,CHEMBL3137291
H3-3B,Chromobox protein homolog 5,N/A,CHEMBL3826867
H3-3B,DNA (cytosine-5)-methyltransferase 3B,Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family,CHEMBL6095
H3-3B,Transcription initiation factor TFIID subunit 3,Belongs to the TAF3 family,CHEMBL4523329
H3-3B,Histone H4,Belongs to the histone H4 family,CHEMBL5876
H3-3B,DNA (cytosine-5)-methyltransferase 3A,Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family,CHEMBL1992
H3-3B,Baculoviral IAP repeat-containing protein 5,Belongs to the IAP family,CHEMBL5989
H3-3B,DNA (cytosine-5)-methyltransferase 1,Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family,CHEMBL1993
SSTR4,Somatostatin receptor type 4,Belongs to the G-protein coupled receptor 1 family,CHEMBL1853
SSTR4,Somatostatin receptor type 5,Belongs to the G-protein coupled receptor 1 family,CHEMBL1792
NMUR2,Neuromedin-U receptor 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL1075144
NMUR2,Transcription factor 4,N/A,CHEMBL3885541
HRH4,Histamine H4 receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL3759
KLB,Beta-klotho,Belongs to the glycosyl hydrolase 1 family. Klotho subfamily,CHEMBL4630720
KLB,Fibroblast growth factor receptor 4,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3973
KLB,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
KLB,Fibroblast growth factor receptor 2,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL4142
KLB,Fibroblast growth factor receptor 3,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL2742
KLB,Eukaryotic translation initiation factor 4E,Belongs to the eukaryotic initiation factor 4E family,CHEMBL4848
KLB,Bile acid receptor,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL2047
KLB,"Leucine-rich PPR motif-containing protein, mitochondrial",N/A,CHEMBL4295762
KLB,Exportin-1,Belongs to the exportin family,CHEMBL5661
TAAR5,Trace amine-associated receptor 5,Belongs to the G-protein coupled receptor 1 family,CHEMBL3714046
TAAR5,Trace amine-associated receptor 8,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523902
NMBR,Neuromedin-B receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL3636
GNS,SH2/SH3 adapter protein NCK1,N/A,CHEMBL4846
GNS,Serine/threonine-protein kinase TBK1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL5408
GPR45,Probable G-protein coupled receptor 45,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523928
GPR45,Probable G-protein coupled receptor 63,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523916
SLC3A1,Prolyl endopeptidase-like,Belongs to the peptidase S9A family,CHEMBL2189128
DPP9,Dipeptidyl peptidase 9,Belongs to the peptidase S9B family. DPPIV subfamily,CHEMBL4793
DPP9,"NACHT, LRR and PYD domains-containing protein 1",Belongs to the NLRP family,CHEMBL1741214
DPP9,Xaa-Pro aminopeptidase 1,Belongs to the peptidase M24B family,CHEMBL3782
DPP9,Xaa-Pro dipeptidase,Belongs to the peptidase M24B family. Eukaryotic-type prolidase subfamily,CHEMBL4185
DPP9,Dipeptidyl peptidase 8,Belongs to the peptidase S9B family. DPPIV subfamily,CHEMBL4657
DPP9,Elongation factor 1-delta,Belongs to the EF-1-beta/EF-1-delta family,CHEMBL4295739
DPP9,Cytochrome b-c1 complex subunit 7,Belongs to the UQCRB/QCR7 family,CHEMBL1671612
DPP9,Peroxiredoxin-1,Belongs to the peroxiredoxin family. AhpC/Prx1 subfamily,CHEMBL5315
DPP9,Protein BRICK1,Belongs to the BRK1 family,CHEMBL3758062
DPP9,"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase",Belongs to the glycosyltransferase 29 family,CHEMBL3596076
DPP9,DnaJ homolog subfamily B member 6,N/A,CHEMBL4295674
DPP9,TAR DNA-binding protein 43,N/A,CHEMBL2362981
GRIN2D,"Glutamate receptor ionotropic, NMDA 2D",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2D/GRIN2D subfamily,CHEMBL2591
GRIN2D,"Glutamate receptor ionotropic, NMDA 1",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR1/GRIN1 subfamily,CHEMBL2015
GRIN2D,Disks large homolog 4,Belongs to the MAGUK family,CHEMBL5666
GRIN2D,"Glutamate receptor ionotropic, NMDA 2C",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2C/GRIN2C subfamily,CHEMBL4109
GRIN2D,"Glutamate receptor ionotropic, NMDA 2B",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2B/GRIN2B subfamily,CHEMBL1904
GRIN2D,"Glutamate receptor ionotropic, NMDA 2A",Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2A/GRIN2A subfamily,CHEMBL1972
LCT,Lactase/phlorizin hydrolase,Belongs to the glycosyl hydrolase 1 family,CHEMBL1075131
LCT,DNA replication licensing factor MCM6,Belongs to the MCM family,CHEMBL4296011
LCT,Cystinosin,Belongs to the cystinosin family,CHEMBL4630803
FGF2,Fibroblast growth factor 2,Belongs to the heparin-binding growth factors family,CHEMBL3107
FGF2,Fibroblast growth factor receptor 1,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3650
FGF2,Fibroblast growth factor receptor 4,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL3973
FGF2,Fibroblast growth factor receptor 2,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL4142
FGF2,Tyrosine-protein kinase Tec,Belongs to the protein kinase superfamily. Tyr protein kinase family. TEC subfamily,CHEMBL4246
FGF2,Fibroblast growth factor 1,Belongs to the heparin-binding growth factors family,CHEMBL2120
FGF2,Integrin beta-3,Belongs to the integrin beta chain family,CHEMBL1907598
FGF2,Integrin alpha-V,Belongs to the integrin alpha chain family,CHEMBL3660
FGF2,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",Belongs to the glycosyltransferase 18 family,CHEMBL1795131
FGF2,cGMP-dependent protein kinase 2,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. cGMP subfamily,CHEMBL2896
FGF2,Leucine-rich repeat-containing protein 59,N/A,CHEMBL2216743
FGF2,Fibroblast growth factor receptor substrate 2,N/A,CHEMBL5291586
TP63,Homeodomain-interacting protein kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. HIPK subfamily,CHEMBL4576
TP63,Receptor-interacting serine/threonine-protein kinase 4,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL6083
CREM,Calcium/calmodulin-dependent protein kinase type 1D,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,CHEMBL5073
CREM,Testis-specific serine/threonine-protein kinase 4,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL4295868
CREM,Hippocalcin-like protein 1,Belongs to the recoverin family,CHEMBL4295755
CREM,MAP kinase-interacting serine/threonine-protein kinase 1,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL4718
CREM,Neuronal calcium sensor 1,Belongs to the recoverin family,CHEMBL4295788
CREM,Dual specificity mitogen-activated protein kinase kinase 5,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase subfamily,CHEMBL4948
CREM,"POU domain, class 2, transcription factor 1",Belongs to the POU transcription factor family. Class-2 subfamily,CHEMBL3509601
CREM,Mitogen-activated protein kinase 7,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL5332
CREM,Insulin-like growth factor 1,Belongs to the insulin family,CHEMBL3217394
